name_list,location_list,price_list,built_year_list,floor_list,bedroom_list,bathroom_list,area_list,distance_to_transport_list,facilities_list
เดอะ ไลน์ อโศก รัชดา,"พระราม 9, กรุงเทพ","฿5,900,000",สร้างเสร็จในปี 2018,15,1 ห้องนอน,1 ห้องน้ำ,35.04 ม.2,330 ม. จาก MRT พระราม 9,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ลู่วิ่ง', 'เตาบาร์บีคิว', 'ระบบรักษาความปลอดภัย 24 ชม.', 'เตาบาร์บีคิว']"
เดอะ คีย์ แจ้งวัฒนะ,นนทบุรี,"฿2,100,000",สร้างเสร็จในปี 2012,8,1 ห้องนอน,1 ห้องน้ำ,35.98 ม.2,,"['สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'ร้านอาหารใกล้เคียง', 'มินิมาร์ทใกล้เคียง', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องซักรีด']"
มาเอสโตร 14 สยาม ราชเทวี,"ราชเทวี, กรุงเทพ","฿4,600,000",สร้างเสร็จในปี 2017,4,1 ห้องนอน,1 ห้องน้ำ,27 ม.2,270 ม. จาก BTS ราชเทวี,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ห้องอบไอน้ำ', 'เตาบาร์บีคิว', 'เตาบาร์บีคิว', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ศาลา']"
บราวน์ คอนโด รัชดา 32,"จันทรเกษม, กรุงเทพ","฿2,100,000",สร้างเสร็จในปี 2018,2,1 ห้องนอน,1 ห้องน้ำ,24.03 ม.2,2030 ม. จาก BTS รัชโยธิน,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'สนามเด็กเล่น', 'ลู่วิ่ง', 'เตาบาร์บีคิว', 'ระบบรักษาความปลอดภัย 24 ชม.', 'เตาบาร์บีคิว']"
แอชตัน สุขุมวิท 41,"พร้อมพงษ์, กรุงเทพ","฿30,300,000",สร้างเสร็จในปี 2015ระเบียง,8,3 ห้องนอน,3 ห้องน้ำ,114 ม.2,250 ม. จาก BTS พร้อมพงษ์,"['สนามเด็กเล่น', 'ฟิตเนส', 'ระบบรักษาความปลอดภัย 24 ชม.']"
คอนโด รอย์ช ไพรเวท เรสซิเดนซ์ สุขุมวิท 31,"พร้อมพงษ์, กรุงเทพ","฿32,500,000",สร้างเสร็จในปี 2012,20,3 ห้องนอน,3 ห้องน้ำ,145 ม.2,530 ม. จาก MRT สุขุมวิท,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ศาลา', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สระว่ายน้ำพร้อมสปา']"
ไอดีโอ มิกซ์ สุขุมวิท 103,"บางนาเหนือ, กรุงเทพ","฿2,900,000",สร้างเสร็จในปี 2010,11,1 ห้องนอน,1 ห้องน้ำ,31 ม.2,100 ม. จาก BTS อุดมสุข,"['สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สระว่ายน้ำพร้อมสปา']"
ฟิฟตี้ไนน์ เฮอร์ริเทจ สุขุมวิท 59,"ทองหล่อ, กรุงเทพ","฿13,900,000",สร้างเสร็จในปี 2009,6,3 ห้องนอน,2 ห้องน้ำ,120 ม.2,350 ม. จาก BTS ทองหล่อ,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
ฟิฟตี้ฟิฟท์ ทาวเวอร์ คอนโดมิเนียม,"ทองหล่อ, กรุงเทพ","฿18,000,000",สร้างเสร็จในปี 1996,19,2 ห้องนอน,3 ห้องน้ำ,165 ม.2,280 ม. จาก BTS ทองหล่อ,"['สระว่ายน้ำ', 'ระบบรักษาความปลอดภัย 24 ชม.', 'เซาว์น่า', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'ฟิตเนส', 'หอประชุม']"
ลีฟ แอท 49,"พร้อมพงษ์, กรุงเทพ","฿9,900,000",สร้างเสร็จในปี 2016,7,2 ห้องนอน,2 ห้องน้ำ,75 ม.2,580 ม. จาก BTS ทองหล่อ,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สกายเลานจ์']"
แบงค์คอก ฮอไรซอน เพชรเกษม,"บางหว้า, กรุงเทพ","฿3,500,000",สร้างเสร็จในปี 2012,14,2 ห้องนอน,1 ห้องน้ำ,46 ม.2,530 ม. จาก MRT เพชรเกษม 48,"['สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
คอนโด 3 นอน ชั้นสูง ใกล้ BTS นานา,"นานา, กรุงเทพ","฿16,000,000",,26,3 ห้องนอน,3 ห้องน้ำ,134 ม.2,20 ม. จาก BTS นานา,
ศุภาลัย เวลลิงตัน,"ห้วยขวาง, กรุงเทพ","฿5,990,000",สร้างเสร็จในปี 2014,4,2 ห้องนอน,1 ห้องน้ำ,75 ม.2,840 ม. จาก MRT ศูนย์วัฒนธรรมแห่งประเทศไทย,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ระบบรักษาความปลอดภัย 24 ชม.', 'เกมรูม']"
เอ สเปซ ไอดี อโศก รัชดา,"พระราม 9, กรุงเทพ","฿4,090,000",สร้างเสร็จในปี 2016,15,1 ห้องนอน,1 ห้องน้ำ,33 ม.2,450 ม. จาก MRT พระราม 9,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องอบไอน้ำ']"
ริธึ่ม สาทร,"ยานนาวา, กรุงเทพ","฿9,900,000",สร้างเสร็จในปี 2015,12A,2 ห้องนอน,2 ห้องน้ำ,64 ม.2,330 ม. จาก BTS สะพานตากสิน,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ห้องอบไอน้ำ', 'ลานจอดรถกลางแจ้ง', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถใต้ดิน']"
วิสซ์ดอม สเตชั่น รัชดา ท่าพระ,"ราชพฤกษ์, กรุงเทพ","฿3,250,000",สร้างเสร็จในปี 2018,22,1 ห้องนอน,1 ห้องน้ำ,27 ม.2,170 ม. จาก BTS ตลาดพลู,"['ห้องสมุด', 'สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ลานจอดรถกลางแจ้ง', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สกายเลานจ์']"
ดิ เอ็ม โพริโอ เพลส สุขุมวิท 24,"พร้อมพงษ์, กรุงเทพ","฿33,000,000",สร้างเสร็จในปี 2009ระเบียง,21,2 ห้องนอน,2 ห้องน้ำ,145 ม.2,750 ม. จาก MRT ศูนย์การประชุมแห่งชาติสิริกิติ์,"['สนามเด็กเล่น', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องสมุด', 'เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'ฟิตเนส', 'สถานออกกำลังกาย']"
เดอะ โมนูเมนต์ ทองหล่อ,"ทองหล่อ, กรุงเทพ","฿35,900,000",สร้างเสร็จในปี 2019,23,2 ห้องนอน,3 ห้องน้ำ,125 ม.2,1600 ม. จาก ARL รามคำแหง,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'สนามเด็กเล่น', 'หอประชุม', 'ห้องอบไอน้ำ', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ศาลา']"
เอ็มเมอรัล เรสซิเดนซ์ รัชดา,"ดินแดง, กรุงเทพ","฿2,400,000",สร้างเสร็จในปี 2012,6,1 ห้องนอน,1 ห้องน้ำ,29 ม.2,560 ม. จาก MRT ห้วยขวาง,"['สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
ออกัสตัน สุขุมวิท 22,"พร้อมพงษ์, กรุงเทพ","฿12,400,000",สร้างเสร็จในปี 2010,18,2 ห้องนอน,2 ห้องน้ำ,95 ม.2,500 ม. จาก MRT ศูนย์การประชุมแห่งชาติสิริกิติ์,"['ลานจอดรถในร่ม', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
เดอะ เครส สุขุมวิท 24,"พร้อมพงษ์, กรุงเทพ","฿8,200,000",สร้างเสร็จในปี 2013ตู้เย็นไมโครเวฟระเบียงทีวี,8,1 ห้องนอน,1 ห้องน้ำ,47 ม.2,420 ม. จาก BTS พร้อมพงษ์,"['สระว่ายน้ำ', 'สวน', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ลานจอดรถ', 'ฟิตเนส', 'สถานออกกำลังกาย']"
ศุภาลัย เพลส สุขุมวิท 39,"พร้อมพงษ์, กรุงเทพ","฿10,200,000",สร้างเสร็จในปี 1994ตู้เย็นไมโครเวฟเตาไฟฟ้าระเบียงทีวี,,2 ห้องนอน,1 ห้องน้ำ,102.92 ม.2,1260 ม. จาก MRT เพชรบุรี,"['ฟิตเนส', 'สระว่ายน้ำ', 'ลานจอดรถกลางแจ้ง', 'ลานจอดรถ', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ฟิตเนส', 'ลานจอดรถ', 'สนามสควอช', 'กล้องวงจรปิด']"
ยู ดีไลท์ แอท อ่อนนุช สเตชั่น,"สวนหลวง, กรุงเทพ","฿2,190,000",สร้างเสร็จในปี 2012,11,1 ห้องนอน,1 ห้องน้ำ,31 ม.2,680 ม. จาก BTS อ่อนนุช,"['สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
ริธึ่ม สุขุมวิท 50,"พระโขนงใต้, กรุงเทพ","฿6,900,000",สร้างเสร็จในปี 2013,19,1 ห้องนอน,1 ห้องน้ำ,45 ม.2,200 ม. จาก BTS อ่อนนุช,"['เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
โนเบิล รีฟอร์ม อารีย์,"อารีย์, กรุงเทพ","฿8,500,000",สร้างเสร็จในปี 2012,9,1 ห้องนอน,1 ห้องน้ำ,47 ม.2,200 ม. จาก BTS อารีย์,"['เซาว์น่า', 'สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สนามเด็กเล่น']"
คอนโด 2 นอน ห้องสวย ใกล้ BTS นานา,"เพลินจิต, กรุงเทพ","฿24,000,000",,7,2 ห้องนอน,2 ห้องน้ำ,95 ม.2,660 ม. จาก BTS นานา,
เลอ ลักซ์ คอนโดมิเนียม,"สุขุมวิท, กรุงเทพ","฿5,500,000",สร้างเสร็จในปี 2011,14,1 ห้องนอน,1 ห้องน้ำ,49.75 ม.2,220 ม. จาก BTS พระโขนง,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'เซาว์น่า', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'มินิมาร์ทใกล้เคียง', 'สนามเด็กเล่น', 'ระบบรักษาความปลอดภัย 24 ชม.', 'เกมรูม']"
คิว อโศก,"มักกะสัน, กรุงเทพ","฿9,140,000",สร้างเสร็จในปี 2015,16,2 ห้องนอน,1 ห้องน้ำ,45 ม.2,160 ม. จาก MRT เพชรบุรี,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'เซาว์น่า', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
เดอะ คีย์ สาทร เจริญราษฎร์,"บางโคล่, กรุงเทพ","฿6,890,000",สร้างเสร็จในปี 2017,32,2 ห้องนอน,1 ห้องน้ำ,60 ม.2,1990 ม. จาก BTS สะพานตากสิน,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'ฟิตเนส', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'สนามเด็กเล่น', 'ระบบรักษาความปลอดภัย 24 ชม.', 'เลานจ์']"
ริธึ่ม สาทร,"ยานนาวา, กรุงเทพ","฿18,500,000",สร้างเสร็จในปี 2015,,3 ห้องนอน,2 ห้องน้ำ,85 ม.2,330 ม. จาก BTS สะพานตากสิน,"['สระว่ายน้ำ', 'เซาว์น่า', 'สวน', 'ห้องสมุด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ลานจอดรถ', 'กล้องวงจรปิด', 'ฟิตเนส', 'สถานออกกำลังกาย']"
เดอะ เทอร์ทีไนน์ บาย แสนสิริ,"พร้อมพงษ์, กรุงเทพ","฿19,600,000",สร้างเสร็จในปี 2015,,2 ห้องนอน,2 ห้องน้ำ,65.62 ม.2,240 ม. จาก BTS พร้อมพงษ์,"['สระว่ายน้ำ', 'สวน', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องสมุด', 'ลานจอดรถกลางแจ้ง', 'ลานจอดรถในร่ม', 'ฟิตเนส', 'สถานออกกำลังกาย']"
แอล สไตล์,"สามเสนนอก, กรุงเทพ","฿4,900,000",สร้างเสร็จในปี 2014,4,2 ห้องนอน,2 ห้องน้ำ,60.57 ม.2,1200 ม. จาก MRT สุทธิสาร,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
ดิ แอดเดรส สุขุมวิท 61,"สุขุมวิท, กรุงเทพ","฿5,690,000",สร้างเสร็จในปี 2012,4,1 ห้องนอน,1 ห้องน้ำ,41.85 ม.2,480 ม. จาก BTS เอกมัย,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
ไอดีโอ มิกซ์ พหลโยธิน,"สะพานควาย, กรุงเทพ","฿3,590,000",สร้างเสร็จในปี 2010,11,1 ห้องนอน,1 ห้องน้ำ,31 ม.2,160 ม. จาก BTS สะพานควาย,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
แอล สไตล์,"สามเสนนอก, กรุงเทพ","฿4,900,000",สร้างเสร็จในปี 2014,4,2 ห้องนอน,2 ห้องน้ำ,60.57 ม.2,1200 ม. จาก MRT สุทธิสาร,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
สินธร เรสซิเดนซ์,"ลุมพินี, กรุงเทพ","฿13,000,000",สร้างเสร็จในปี 2019,17,1 ห้องนอน,1 ห้องน้ำ,74 ม.2,520 ม. จาก BTS ราชดำริ,"['ลานจอดรถในร่ม', 'เซาว์น่า', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'หอประชุม', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ศาลา']"
ลุมพินี เพลส พหล สะพานควาย,"ประดิพัทธ์, กรุงเทพ","฿5,200,000",สร้างเสร็จในปี 2013,24,1 ห้องนอน,1 ห้องน้ำ,44.1 ม.2,720 ม. จาก BTS สะพานควาย,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องซักรีด']"
โนเบิล โซโล,"ทองหล่อ, กรุงเทพ","฿6,800,000",สร้างเสร็จในปี 2010,12,1 ห้องนอน,1 ห้องน้ำ,50 ม.2,1650 ม. จาก ARL รามคำแหง,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
เดอะฟายน์ แบงค็อค ทองหล่อ เอกมัย,"สุขุมวิท, กรุงเทพ","฿6,490,000",สร้างเสร็จในปี 2020,18,1 ห้องนอน,1 ห้องน้ำ,35 ม.2,1200 ม. จาก BTS ทองหล่อ,"['เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'สนามเด็กเล่น', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สนามกอล์ฟมินิ']"
มาเอสโตร 03 รัชดา พระราม 9,"ดินแดง, กรุงเทพ","฿9,200,000",สร้างเสร็จในปี 2017,3,2 ห้องนอน,2 ห้องน้ำ,66 ม.2,570 ม. จาก MRT พระราม 9,"['ลานจอดรถในร่ม', 'เซาว์น่า', 'สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ห้องอบไอน้ำ', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สนามเด็กเล่น']"
เดอะ กริช เอกซ์ตร้า 7,"รัชดาภิเษก, กรุงเทพ","฿2,900,000",สร้างเสร็จในปี 2014,8,2 ห้องนอน,1 ห้องน้ำ,43.3 ม.2,70 ม. จาก MRT ห้วยขวาง,"['ลานจอดรถในร่ม', 'เซาว์น่า', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ลานจอดรถกลางแจ้ง', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สระว่ายน้ำพร้อมสปา']"
โนเบิล เพลินจิต,"เพลินจิต, กรุงเทพ","฿22,000,000",สร้างเสร็จในปี 2017,16,2 ห้องนอน,2 ห้องน้ำ,61.55 ม.2,120 ม. จาก BTS เพลินจิต,"['ลานจอดรถในร่ม', 'เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'ห้องอบไอน้ำ', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถกลางแจ้ง']"
ไบร์ท สุขุมวิท 24 คอนโดมิเนียม,"พร้อมพงษ์, กรุงเทพ","฿35,000,000",สร้างเสร็จในปี 2012,19,3 ห้องนอน,3 ห้องน้ำ,189.39 ม.2,700 ม. จาก MRT ศูนย์การประชุมแห่งชาติสิริกิติ์,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
ดิ แอดเดรส สุขุมวิท 28,"พร้อมพงษ์, กรุงเทพ","฿14,500,000",สร้างเสร็จในปี 2012,16,2 ห้องนอน,2 ห้องน้ำ,67 ม.2,400 ม. จาก BTS พร้อมพงษ์,"['เซาว์น่า', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'สนามเด็กเล่น', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถกลางแจ้ง']"
ลุมพินีพาร์ค ปิ่นเกล้า,"บางบำหรุ, กรุงเทพ","฿2,100,000",สร้างเสร็จในปี 2011,26,1 ห้องนอน,1 ห้องน้ำ,46.9 ม.2,1130 ม. จาก MRT บางยี่ขัน,"['สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'มินิมาร์ทใกล้เคียง', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องซักรีด']"
เดอะแบงค็อค สุขุมวิท 43 คอนโดมิเนียม,"พร้อมพงษ์, กรุงเทพ","฿16,500,000",,4,2 ห้องนอน,2 ห้องน้ำ,115.36 ม.2,360 ม. จาก BTS พร้อมพงษ์,
39 บาย แสนสิริ,"พร้อมพงษ์, กรุงเทพ","฿14,000,000",สร้างเสร็จในปี 2010,16,1 ห้องนอน,1 ห้องน้ำ,55 ม.2,170 ม. จาก BTS พร้อมพงษ์,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
ฟูลเลอตัน สุขุมวิท,"สุขุมวิท, กรุงเทพ","฿17,500,000",สร้างเสร็จในปี 2006,19,2 ห้องนอน,2 ห้องน้ำ,96 ม.2,380 ม. จาก BTS เอกมัย,"['เซาว์น่า', 'สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'สนามเด็กเล่น', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องอบไอน้ำ']"
ริทึ่ม สุขุมวิท 44 1,"สุขุมวิท, กรุงเทพ","฿7,900,000",สร้างเสร็จในปี 2013,15,1 ห้องนอน,1 ห้องน้ำ,45 ม.2,80 ม. จาก BTS พระโขนง,"['ลานจอดรถในร่ม', 'เซาว์น่า', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
เดอะ พาร์ค ชิดลม,"ชิดลม, กรุงเทพ","฿43,000,000",สร้างเสร็จในปี 2010อ่างอาบน้ำ,18,2 ห้องนอน,3 ห้องน้ำ,145.6 ม.2,450 ม. จาก BTS ชิดลม,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'เตาบาร์บีคิว', 'เตาบาร์บีคิว', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ศาลา']"
วิลล่า ราชเทวี,"พญาไท, กรุงเทพ","฿6,500,000",สร้างเสร็จในปี 2010ตู้เย็นไมโครเวฟระเบียงทีวี,33,1 ห้องนอน,1 ห้องน้ำ,43 ม.2,300 ม. จาก BTS ราชเทวี,"['สระว่ายน้ำ', 'สวน', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถในร่ม', 'ลานจอดรถ', 'เซาว์น่า', 'สถานออกกำลังกาย', 'ฟิตเนส', 'เตาบาร์บีคิว']"
เดอะ สแตรนด์ ทองหล่อ,"ทองหล่อ, กรุงเทพ","฿20,490,000",สร้างเสร็จในปี 2021,10,1 ห้องนอน,1 ห้องน้ำ,55 ม.2,140 ม. จาก BTS ทองหล่อ,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'มินิมาร์ทใกล้เคียง', 'สนามเด็กเล่น', 'ศาลา', 'เกมรูม', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ลานจอดรถใต้ดิน']"
มาเอสโตร 19 รัชดา 19 วิภา,"ดินแดง, กรุงเทพ","฿2,850,000",สร้างเสร็จในปี 2019,2,1 ห้องนอน,1 ห้องน้ำ,29 ม.2,530 ม. จาก MRT รัชดาภิเษก,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'ฟิตเนส', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ห้องอบไอน้ำ', 'เตาบาร์บีคิว', 'ระบบรักษาความปลอดภัย 24 ชม.', 'เตาบาร์บีคิว']"
ไอดีโอ พระราม 9 ตัดใหม่,"รามคำแหง, กรุงเทพ","฿5,300,000",สร้างเสร็จในปี 2019,23,1 ห้องนอน,1 ห้องน้ำ,50 ม.2,950 ม. จาก ARL รามคำแหง,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ห้องซักรีด', 'ห้องสัมนา', 'ระบบรักษาความปลอดภัย 24 ชม.', 'เลานจ์']"
เซ็นทริค รัชโยธิน,"รัชโยธิน, กรุงเทพ","฿5,490,000",สร้างเสร็จในปี 2019,7,1 ห้องนอน,1 ห้องน้ำ,38 ม.2,250 ม. จาก BTS รัชโยธิน,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ศาลา', 'จากุซซี่', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องสัมนา']"
เอช คิว ทองหล่อ,"ทองหล่อ, กรุงเทพ","฿18,000,000",สร้างเสร็จในปี 2014ตู้เย็นอ่างอาบน้ำทีวี,18,1 ห้องนอน,2 ห้องน้ำ,80.94 ม.2,680 ม. จาก BTS ทองหล่อ,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
เดอะฟายน์ แบงค็อค ทองหล่อ เอกมัย,"สุขุมวิท, กรุงเทพ","฿21,000,000",สร้างเสร็จในปี 2020ตู้เย็นห้องครัวพร้อมเตาอบทีวี,16,3 ห้องนอน,2 ห้องน้ำ,92 ม.2,1200 ม. จาก BTS ทองหล่อ,"['เซาว์น่า', 'สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'สนามเด็กเล่น', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สนามกอล์ฟมินิ']"
วินด์ สุขุมวิท 23,"พร้อมพงษ์, กรุงเทพ","฿7,900,000",สร้างเสร็จในปี 2009,16,1 ห้องนอน,1 ห้องน้ำ,52 ม.2,330 ม. จาก MRT สุขุมวิท,"['สระว่ายน้ำ', 'ลานจอดรถ', 'กล้องวงจรปิด', 'สวน', 'สถานออกกำลังกาย', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สนามเด็กเล่น']"
โนเบิล รีโว สีลม,"สุรศักดิ์, กรุงเทพ","฿5,450,000",สร้างเสร็จในปี 2013,10,1 ห้องนอน,1 ห้องน้ำ,34 ม.2,220 ม. จาก BTS สุรศักดิ์,"['ลานจอดรถในร่ม', 'สระว่ายน้ำ', 'ฟิตเนส', 'ลานจอดรถ', 'กล้องวงจรปิด', 'ระบบรักษาความปลอดภัย 24 ชม.', 'สถานออกกำลังกาย']"
ไอดิโอ ท่าพระ อินเตอร์เชนจ์,"วัดท่าพระ, กรุงเทพ","฿4,700,000",สร้างเสร็จในปี 2018,22,1 ห้องนอน,1 ห้องน้ำ,35 ม.2,200 ม. จาก MRT ท่าพระ,"['ลานจอดรถในร่ม', 'ห้องสมุด', 'สระว่ายน้ำ', 'กล้องวงจรปิด', 'สถานออกกำลังกาย', 'ศาลา', 'ระบบรักษาความปลอดภัย 24 ชม.', 'ห้องซักรีด']"
